央视卫视,#genre#
四川卫视,http://58.221.214.82:9901/tsfile/live/0123_1.m3u8
重庆卫视,http://58.221.214.82:9901/tsfile/live/0142_1.m3u8
陕西卫视,http://58.220.219.14:9901/tsfile/live/0120_7.m3u8
甘肃卫视,http://58.220.219.14:9901/tsfile/live/0141_1.m3u8
宁夏卫视,http://58.220.219.14:9901/tsfile/live/0112_1.m3u8
青海卫视,http://58.221.214.82:9901/tsfile/live/0018_1.m3u8
内蒙卫视,http://58.220.219.14:9901/tsfile/live/0114_1.m3u8
西藏卫视,http://58.220.219.14:9901/tsfile/live/0120_5.m3u8
新疆卫视,http://58.220.219.14:9901/tsfile/live/0120_6.m3u8
优漫卡通,http://58.221.214.82:9901/tsfile/live/0008_2.m3u8
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8?u8
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20230221.m3u8

CCTV-1综合,http://ycsj.aguihome.com:4022/udp/233.50.200.143:5140
CCTV-2财经,http://ycsj.aguihome.com:4022/udp/233.50.200.100:5140
CCTV-3综艺,http://ycsj.aguihome.com:4022/udp/233.50.200.107:5140
CCTV-4中文国际,http://ycsj.aguihome.com:4022/udp/233.50.200.101:5140
CCTV-5体育,http://ycsj.aguihome.com:4022/udp/233.50.200.108:5140
CCTV-6电影,http://ycsj.aguihome.com:4022/udp/233.50.200.109:5140
CCTV-7国防军事,http://ycsj.aguihome.com:4022/udp/233.50.200.102:5140
CCTV-8电视剧,http://ycsj.aguihome.com:4022/udp/233.50.200.110:5140
CCTV-9纪录,http://ycsj.aguihome.com:4022/udp/233.50.200.23:5140
CCTV-10科教,http://ycsj.aguihome.com:4022/udp/233.50.200.22:5140
CCTV-11戏曲,http://ycsj.aguihome.com:4022/udp/233.50.201.11:5140
CCTV-12社会与法,http://ycsj.aguihome.com:4022/udp/233.50.200.21:5140
CCTV-13新闻,http://ycsj.aguihome.com:4022/udp/233.50.200.111:5140
CCTV-14少儿,http://ycsj.aguihome.com:4022/udp/233.50.200.103:5140
CCTV-15音乐,http://ycsj.aguihome.com:4022/udp/233.50.201.15:5140
CCTV-16奥林匹克,http://ycsj.aguihome.com:4022/udp/233.50.200.112:5140
CCTV-17农业农村,http://ycsj.aguihome.com:4022/udp/233.50.200.113:5140
CCTV-5+体育赛事,http://ycsj.aguihome.com:4022/udp/233.50.201.220:5140
CETV-1教育,http://ycsj.aguihome.com:4022/udp/233.50.201.75:5140
CETV-2教育,http://goo.bkpcp.top/mg/cetv2
CETV-4教育,http://ycsj.aguihome.com:4022/udp/233.50.200.162:5140
CGTN-英语,http://ycsj.aguihome.com:4022/udp/233.50.201.126:5140
CGTN-西语,http://ycsj.aguihome.com:4022/udp/233.50.201.36:5140
CGTN-法语,http://ycsj.aguihome.com:4022/udp/233.50.201.37:5140
CGTN-阿语,http://ycsj.aguihome.com:4022/udp/233.50.201.38:5140
CGTN-俄语,http://ycsj.aguihome.com:4022/udp/233.50.201.39:5140
CGTN-纪录,http://goo.bkpcp.top/mg/cgtnjl
北京卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.179:5140
天津卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.104:5140
东方卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.146:5140
东南卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.146:5140
海南卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.55:5140
广东卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.149:5140
广西卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.49:5140
深圳卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.188:5140
江苏卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.144:5140
江西卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.119:5140
浙江卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.145:5140
湖南卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.190:5140
湖北卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.147:5140
安徽卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.106:5140
山东卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.105:5140
山西卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.51:5140
河南卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.144:5140
河北卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.105:5140
厦门卫视,http://goo.bkpcp.top/mg/xmws
龙江卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.189:5140
吉林卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.48:5140
辽宁卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.141:5140
云南卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.115:5140
贵州卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.142:5140
四川卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.118:5140
重庆卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.114:5140
陕西卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.59:5140
甘肃卫视,http://goo.bkpcp.top/mg/gsws
宁夏卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.57:5140
青海卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.65:5140
内蒙卫视,http://z.b.bkpcp.top/m.php?id=nmgws?3.50.201.66:5140
西藏卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.70:5140
新疆卫视,http://goo.bkpcp.top/mg/xjws
兵团卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.72:5140
卡酷少儿,http://goo.bkpcp.top/mg/bjkk
哈哈炫动,http://ycsj.aguihome.com:4022/udp/233.50.201.74:5140
嘉佳卡通,http://goo.bkpcp.top/mg/jjkt
